,Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,ROI,Cost_per_Conversion
0,A1000,Data Analytics Course,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,Hyderabad,desktop,learn data analytics,7.159392789373814,33.12571428571429
1,A1001,Data Analytics Course,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,2024-11-14,Hyderabad,mobile,data analytics course,6.743036340158643,27.105
2,A1002,Data Analytics Course,90.0,4544.0,203.66,26.0,9.0,0.04897922998986829,1624.0,2024-11-14,Hyderabad,desktop,data analitics online,6.974074437788471,22.628888888888888
3,A1003,Data Analytics Course,142.0,3185.0,237.66,17.0,6.0,0.04897922998986829,1225.0,2024-11-26,Hyderabad,tablet,data anaytics training,4.154422283935033,39.61
4,A1004,Data Analytics Course,156.0,3361.0,195.9,30.0,8.0,0.04897922998986829,1091.0,2024-11-22,Hyderabad,desktop,online data analytic,4.569167942827973,24.4875
5,A1005,Data Analytics Course,195.0,3776.0,243.57,10.0,8.0,0.04897922998986829,1315.0,2024-11-14,Hyderabad,mobile,data anaytics training,4.3988586443322255,30.44625
6,A1006,Data Analytics Course,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,2024-11-14,Hyderabad,tablet,data analytics course,5.896841751124943,47.558
7,A1007,Data Analytics Course,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024-11-14,Hyderabad,tablet,analytics for data,5.57201341404991,76.53666666666668
8,A1008,Data Analytics Course,113.0,5434.0,215.57,27.0,4.0,0.058,1362.0,2024-11-14,Hyderabad,tablet,data anaytics training,5.318133320963029,53.8925
9,A1009,Data Analytics Course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024-11-14,Hyderabad,mobile,online data analytic,4.509155155798266,20.753333333333334
10,A1010,Data Analytics Course,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,2024-11-14,Hyderabad,desktop,learn data analytics,7.023987499472106,39.464999999999996
11,A1011,Data Analytics Course,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024-11-14,Hyderabad,desktop,online data analytic,4.4295598693061695,41.624
12,A1012,Data Analytics Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024-11-14,Hyderabad,desktop,data analitics online,9.240460010454782,63.76666666666667
13,A1013,Data Analytics Course,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,2024-11-14,Hyderabad,mobile,data anaytics training,6.8231948327388405,29.63714285714286
14,A1014,Data Analytics Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,Hyderabad,desktop,data anaytics training,7.309471068129018,20.565555555555555
15,A1015,Data Analytics Course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,Hyderabad,desktop,data analytics course,7.7014725568942435,25.21125
16,A1016,Data Analytics Course,193.0,5159.0,215.57,15.0,9.0,0.047,1614.0,2024-11-10,Hyderabad,mobile,learn data analytics,6.487127151273369,23.952222222222222
17,A1017,Data Analytics Course,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,2024-11-14,Hyderabad,mobile,learn data analytics,7.162970106075217,23.044444444444444
18,A1018,Data Analytics Course,150.0,3113.0,217.41,20.0,5.0,0.04897922998986829,1785.0,2024-11-14,Hyderabad,mobile,analytics for data,7.210293914723334,43.482
19,A1019,Data Analytics Course,145.0,5278.0,215.57,25.0,6.0,0.041,1516.0,2024-11-05,Hyderabad,desktop,data analytics course,6.032518439486014,35.928333333333335
20,A1020,Data Analytics Course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,2024-11-14,Hyderabad,tablet,learn data analytics,6.769816390506046,22.330000000000002
21,A1021,Data Analytics Course,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,2024-11-14,Hyderabad,tablet,data analitics online,8.786679693860934,26.318571428571428
22,A1022,Data Analytics Course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,Hyderabad,desktop,online data analytic,5.258284415830335,35.20666666666667
23,A1023,Data Analytics Course,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,2024-11-14,Hyderabad,tablet,data analytics course,5.308380762045445,46.034
24,A1024,Data Analytics Course,87.0,3718.0,215.57,12.0,3.0,0.034,1652.0,2024-11-14,Hyderabad,tablet,learn data analytics,6.663403998701119,71.85666666666667
25,A1025,Data Analytics Course,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,Hyderabad,tablet,learn data analytics,7.003518029903255,22.74
26,A1026,Data Analytics Course,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,Hyderabad,desktop,online data analytic,7.041958041958042,20.592
27,A1027,Data Analytics Course,138.95699356913184,5286.0,234.89,22.0,10.0,0.04897922998986829,1688.0,2024-11-21,Hyderabad,desktop,data anaytics training,6.18634254331815,23.488999999999997
28,A1028,Data Analytics Course,128.0,5469.0,188.49,16.0,3.0,0.04897922998986829,1783.0,2024-11-23,Hyderabad,mobile,learn data analytics,8.459387765929227,62.830000000000005
29,A1029,Data Analytics Course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,2024-11-14,Hyderabad,mobile,analytics for data,7.307045215562566,26.416666666666668
30,A1030,Data Analytics Course,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,Hyderabad,tablet,online data analytic,6.444517276898586,53.395
31,A1031,Data Analytics Course,113.0,5065.0,212.37,11.0,5.0,0.04897922998986829,1111.0,2024-11-14,Hyderabad,desktop,online data analytic,4.231435701841126,42.474000000000004
32,A1032,Data Analytics Course,138.95699356913184,3872.0,244.38,20.0,4.0,0.04897922998986829,1041.0,2024-11-14,Hyderabad,tablet,data analitics online,3.2597593911122025,61.095
33,A1033,Data Analytics Course,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,2024-11-14,Hyderabad,tablet,data analytics course,6.289313269960356,33.51285714285714
34,A1034,Data Analytics Course,121.0,5610.0,214.96,23.0,8.0,0.04897922998986829,1505.0,2024-11-25,Hyderabad,mobile,data analytics course,6.001302567919613,26.87
35,A1035,Data Analytics Course,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,2024-11-14,Hyderabad,desktop,data anaytics training,6.713125845737483,26.275555555555556
36,A1036,Data Analytics Course,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,Hyderabad,desktop,data anaytics training,6.5463153561136265,30.3625
37,A1037,Data Analytics Course,123.0,5131.0,215.57,19.0,5.0,0.041,1307.0,2024-11-14,Hyderabad,mobile,learn data analytics,5.062995778633391,43.114
38,A1038,Data Analytics Course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,2024-11-14,Hyderabad,mobile,online data analytic,7.625664388762338,32.925000000000004
39,A1039,Data Analytics Course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,Hyderabad,mobile,learn data analytics,6.408753439592958,19.261000000000003
40,A1040,Data Analytics Course,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,2024-11-14,Hyderabad,mobile,data anaytics training,6.996367253384077,25.69222222222222
41,A1041,Data Analytics Course,112.0,4271.0,196.07,27.0,6.0,0.04897922998986829,1209.0,2024-11-14,Hyderabad,desktop,data analitics online,5.16616514510124,32.678333333333335
42,A1042,Data Analytics Course,113.0,4418.0,191.55,27.0,10.0,0.04897922998986829,1634.0,2024-11-14,Hyderabad,mobile,data analytics course,7.530409814669799,19.155
